feedback_id,district,state,survey_date,issue_category,service_type,sentiment,satisfaction_score,comment
FB-2026-000049,Vadodara,Gujarat,2026-04-18,Water Supply,Tap Connectivity,Positive,4.0,Piped water supply is regular and convenient.
FB-2026-000050,Jodhpur,Rajasthan,2026-03-22,Electricity,Transformer,Negative,1.0,Transformer failures are frequent during high-demand periods.
FB-2026-000051,Mysuru,Karnataka,2026-08-26,Roads,Maintenance,Positive,3.0,Road resurfacing has improved travel quality.
FB-2026-000052,Rewa,Madhya Pradesh,2026-05-25,Electricity,Reliability,Positive,5.0,Electricity supply has been stable and uninterrupted.
FB-2026-000053,Jodhpur,Rajasthan,2026-02-03,Water Supply,Tap Connectivity,Positive,3.0,Piped water supply is regular and convenient.
FB-2026-000054,Raichur,Karnataka,2026-04-23,Healthcare,Facility Quality,Positive,5.0,The facility was clean and well maintained.
FB-2026-000055,Prayagraj,Uttar Pradesh,2026-07-29,Public Transport,Service Quality,Positive,3.0,Public transport has become cleaner and more reliable recently.
FB-2026-000056,Bikaner,Rajasthan,2026-01-28,Public Transport,Service Quality,Positive,4.0,Public transport has become cleaner and more reliable recently.
FB-2026-000057,Bengaluru Urban,Karnataka,2026-07-03,Water Supply,Tap Connectivity,Positive,5.0,Piped water supply is regular and convenient.
FB-2026-000058,Varanasi,Uttar Pradesh,2026-08-21,Healthcare,Service Quality,Positive,5.0,Doctors and nursing staff provided attentive care.
FB-2026-000059,Jabalpur,Madhya Pradesh,2026-01-12,Employment,Job Creation,Negative,3.0,Lack of local opportunities is pushing young workers to migrate.
FB-2026-000060,Bikaner,Rajasthan,2026-04-24,Public Transport,Fare/Cost,Negative,3.0,Fare changes have increased the cost of commuting.
FB-2026-000061,Ahmedabad,Gujarat,2026-08-15,Public Transport,Service Quality,Positive,5.0,Public transport has become cleaner and more reliable recently.
FB-2026-000062,Vadodara,Gujarat,2026-05-30,Employment,Training,Positive,3.0,A local skills programme helped participants find work.
FB-2026-000063,Vadodara,Gujarat,2026-08-19,Healthcare,Service Quality,Positive,4.0,Doctors and nursing staff provided attentive care.
FB-2026-000064,Jodhpur,Rajasthan,2026-06-20,Electricity,Transformer,Negative,3.0,Transformer failures are frequent during high-demand periods.
FB-2026-000065,Nashik,Maharashtra,2026-03-02,Education,Digital Education,Positive,4.0,Digital classroom access has improved learning conditions.
FB-2026-000066,Surat,Gujarat,2026-08-25,Public Transport,Fare/Cost,Negative,3.0,Fare changes have increased the cost of commuting.
FB-2026-000067,Udaipur,Rajasthan,2026-07-21,Healthcare,Facility Quality,Positive,3.0,The facility was clean and well maintained.
FB-2026-000068,Lucknow,Uttar Pradesh,2026-07-29,Healthcare,Facility Quality,Positive,4.0,The facility was clean and well maintained.
FB-2026-000069,Kota,Rajasthan,2026-06-18,Healthcare,Medicine Stock,Negative,2.0,Common medicines were unavailable at the facility.
FB-2026-000070,Bhavnagar,Gujarat,2026-03-13,Digital Government Services,Payment Gateway,Positive,5.0,Online payment for government services is fast and transparent.
FB-2026-000071,Gorakhpur,Uttar Pradesh,2026-01-08,Healthcare,Medicine Stock,Negative,1.0,Common medicines were unavailable at the facility.
FB-2026-000072,Bikaner,Rajasthan,2026-06-02,Public Transport,Connectivity,Negative,2.0,Last-mile connectivity from the main transit hub is limited.
FB-2026-000073,Kanpur Nagar,Uttar Pradesh,2026-08-19,Public Transport,Service Quality,Positive,3.0,Public transport has become cleaner and more reliable recently.
FB-2026-000074,Jabalpur,Madhya Pradesh,2026-08-25,Public Transport,Service Quality,Positive,4.0,Public transport has become cleaner and more reliable recently.
FB-2026-000075,Jabalpur,Madhya Pradesh,2026-06-20,Public Transport,Service Quality,Positive,5.0,Public transport has become cleaner and more reliable recently.
FB-2026-000076,Pune,Maharashtra,2026-03-18,Electricity,Reliability,Positive,4.0,Electricity supply has been stable and uninterrupted.
FB-2026-000077,Bhopal,Madhya Pradesh,2026-05-22,Electricity,Transformer,Negative,3.0,Transformer failures are frequent during high-demand periods.
FB-2026-000078,Indore,Madhya Pradesh,2026-08-20,Electricity,Billing,Negative,2.0,Billing errors are creating avoidable grievance cases.
FB-2026-000079,Jhansi,Uttar Pradesh,2026-03-19,Employment,Recruitment,Negative,3.0,Recruitment opportunities for technical roles are limited.
FB-2026-000080,Dharwad,Karnataka,2026-04-24,Roads,Maintenance,Positive,5.0,Road resurfacing has improved travel quality.
FB-2026-000081,Aurangabad,Maharashtra,2026-03-14,Electricity,Reliability,Positive,3.0,Electricity supply has been stable and uninterrupted.
FB-2026-000082,Udaipur,Rajasthan,2026-02-27,Electricity,Reliability,Positive,3.0,Electricity supply has been stable and uninterrupted.
FB-2026-000083,Vadodara,Gujarat,2026-05-02,Healthcare,Service Quality,Positive,4.0,Doctors and nursing staff provided attentive care.
FB-2026-000084,Gwalior,Madhya Pradesh,2026-05-28,Public Safety,Crime Rate,Negative,2.0,Recent theft incidents have increased safety concerns.
FB-2026-000085,Bhopal,Madhya Pradesh,2026-06-17,Healthcare,Service Quality,Positive,4.0,Doctors and nursing staff provided attentive care.
FB-2026-000086,Kota,Rajasthan,2026-06-28,Public Transport,Delay/Frequency,Negative,3.0,"The bus frequency on a major route is poor, with long morning waits."
FB-2026-000087,Udaipur,Rajasthan,2026-02-01,Education,Attendance,Positive,5.0,Teacher attendance and student participation have improved.
FB-2026-000088,Prayagraj,Uttar Pradesh,2026-06-02,Digital Government Services,Payment Gateway,Positive,5.0,Online payment for government services is fast and transparent.
FB-2026-000089,Unspecified District,Uttar Pradesh,2026-08-21,Roads,Lighting,Negative,3.0,Street lighting is inadequate on several road segments.
FB-2026-000090,Lucknow,Uttar Pradesh,2026-07-12,Roads,Erosion,Negative,3.0,Road surfaces deteriorated after heavy rainfall.
FB-2026-000091,Varanasi,Uttar Pradesh,2026-03-12,Electricity,Reliability,Positive,3.0,Electricity supply has been stable and uninterrupted.
FB-2026-000092,Barmer,Rajasthan,2026-08-17,Healthcare,Service Quality,Positive,3.0,Doctors and nursing staff provided attentive care.
FB-2026-000093,Kota,Rajasthan,2026-02-09,Roads,Maintenance,Positive,4.0,Road resurfacing has improved travel quality.
FB-2026-000094,Gwalior,Madhya Pradesh,2026-04-30,Healthcare,Service Quality,Positive,4.0,Doctors and nursing staff provided attentive care.
FB-2026-000095,Indore,Madhya Pradesh,2026-05-30,Public Safety,Emergency Response,Positive,5.0,Emergency response was prompt when assistance was requested.
FB-2026-000096,Indore,Madhya Pradesh,2026-04-01,Roads,Maintenance,Positive,4.0,Road resurfacing has improved travel quality.
FB-2026-000097,Gorakhpur,Uttar Pradesh,2026-05-20,Sanitation,Door-to-Door,Positive,4.0,Door-to-door collection is working reliably in this area.
FB-2026-000098,Kota,Rajasthan,2026-05-05,Healthcare,Medicine Stock,Negative,3.0,Common medicines were unavailable at the facility.
FB-2026-000099,Bhopal,Madhya Pradesh,2026-08-04,Sanitation,Door-to-Door,Positive,5.0,Door-to-door collection is working reliably in this area.
FB-2026-000100,Gorakhpur,Uttar Pradesh,2026-04-11,Public Transport,Service Quality,Positive,3.0,Public transport has become cleaner and more reliable recently.
FB-2026-000101,Jabalpur,Madhya Pradesh,2026-04-29,Public Transport,Connectivity,Negative,2.0,Last-mile connectivity from the main transit hub is limited.
FB-2026-000102,Dharwad,Karnataka,2026-03-25,Healthcare,Diagnostics,Negative,2.0,Diagnostic reporting took longer than expected.
FB-2026-000103,Gwalior,Madhya Pradesh,2026-01-21,Healthcare,Service Quality,Positive,4.0,Doctors and nursing staff provided attentive care.
FB-2026-000104,Kota,Rajasthan,2026-07-19,Electricity,Reliability,Positive,3.0,Electricity supply has been stable and uninterrupted.
FB-2026-000105,Udaipur,Rajasthan,2026-01-06,Healthcare,Service Quality,Positive,3.0,Doctors and nursing staff provided attentive care.
FB-2026-000106,Lucknow,Uttar Pradesh,2026-05-25,Electricity,Reliability,Positive,5.0,Electricity supply has been stable and uninterrupted.
FB-2026-000107,Bikaner,Rajasthan,2026-02-12,Sanitation,Door-to-Door,Positive,3.0,Door-to-door collection is working reliably in this area.
FB-2026-000108,Mysuru,Karnataka,2026-01-07,Public Transport,Service Quality,Positive,4.0,Public transport has become cleaner and more reliable recently.
FB-2026-000109,Jaipur,Rajasthan,2026-06-26,Public Transport,Service Quality,Positive,3.0,Public transport has become cleaner and more reliable recently.
FB-2026-000110,Mysuru,Karnataka,2026-06-03,Employment,Training,Positive,4.0,A local skills programme helped participants find work.
FB-2026-000111,Gorakhpur,Uttar Pradesh,2026-04-05,Roads,Erosion,Negative,1.0,Road surfaces deteriorated after heavy rainfall.
FB-2026-000112,Gwalior,Madhya Pradesh,2026-01-28,Employment,Training,Positive,5.0,A local skills programme helped participants find work.
FB-2026-000113,Rewa,Madhya Pradesh,2026-04-22,Electricity,Billing,Negative,3.0,Billing errors are creating avoidable grievance cases.
FB-2026-000114,Gorakhpur,Uttar Pradesh,2026-04-30,Sanitation,Door-to-Door,Positive,4.0,Door-to-door collection is working reliably in this area.
FB-2026-000115,Udaipur,Rajasthan,2026-01-23,Employment,Recruitment,Negative,1.0,Recruitment opportunities for technical roles are limited.
FB-2026-000116,Rewa,Madhya Pradesh,2026-06-21,Water Supply,Supply Frequency,Negative,2.0,Water supply is intermittent and pressure is low.
FB-2026-000117,Dharwad,Karnataka,2026-02-24,Healthcare,Facility Quality,Positive,4.0,The facility was clean and well maintained.
FB-2026-000118,Barmer,Rajasthan,2026-06-29,Public Safety,Emergency Response,Positive,5.0,Emergency response was prompt when assistance was requested.
FB-2026-000119,Jaipur,Rajasthan,2026-07-04,Public Transport,Schedule,Negative,1.0,Vehicles do not consistently follow the published timetable.
FB-2026-000120,Lucknow,Uttar Pradesh,2026-05-06,Electricity,Reliability,Positive,3.0,Electricity supply has been stable and uninterrupted.
FB-2026-000121,Bengaluru Urban,Karnataka,2026-06-27,Healthcare,Facility Quality,Positive,4.0,The facility was clean and well maintained.
FB-2026-000122,Jhansi,Uttar Pradesh,2026-04-19,Water Supply,Tap Connectivity,Positive,4.0,Piped water supply is regular and convenient.
FB-2026-000123,Rewa,Madhya Pradesh,2026-03-06,Healthcare,Waiting Time,Negative,2.0,Registration and consultation took several hours.
FB-2026-000124,Pune,Maharashtra,2026-07-15,Sanitation,Door-to-Door,Positive,3.0,Door-to-door collection is working reliably in this area.
FB-2026-000125,Lucknow,Uttar Pradesh,2026-05-31,Healthcare,Facility Quality,Positive,3.0,The facility was clean and well maintained.
FB-2026-000126,Jaipur,Rajasthan,2026-04-03,Healthcare,Doctor Availability,Negative,3.0,The public clinic has long queues because too few doctors are available.
FB-2026-000127,Gorakhpur,Uttar Pradesh,2026-01-12,Public Transport,Service Quality,Positive,5.0,Public transport has become cleaner and more reliable recently.
FB-2026-000128,Nagpur,Maharashtra,2026-07-12,Electricity,Reliability,Positive,5.0,Electricity supply has been stable and uninterrupted.
FB-2026-000129,Bengaluru Urban,Karnataka,2026-04-23,Roads,Maintenance,Positive,4.0,Road resurfacing has improved travel quality.
FB-2026-000130,Lucknow,Uttar Pradesh,2026-01-17,Public Transport,Service Quality,Positive,5.0,Public transport has become cleaner and more reliable recently.
FB-2026-000131,Rajkot,Gujarat,2026-07-27,Public Transport,Service Quality,Positive,3.0,Public transport has become cleaner and more reliable recently.
FB-2026-000132,Udaipur,Rajasthan,2026-07-15,Public Transport,Schedule,Negative,3.0,Vehicles do not consistently follow the published timetable.
FB-2026-000133,Kota,Rajasthan,2026-04-08,Sanitation,Door-to-Door,Positive,4.0,Door-to-door collection is working reliably in this area.
FB-2026-000134,Jabalpur,Madhya Pradesh,2026-06-08,Healthcare,Doctor Availability,Negative,1.0,The public clinic has long queues because too few doctors are available.
FB-2026-000135,Jodhpur,Rajasthan,2026-01-21,Healthcare,Waiting Time,Negative,3.0,Registration and consultation took several hours.
FB-2026-000136,Bhavnagar,Gujarat,2026-04-15,Public Transport,Service Quality,Positive,4.0,Public transport has become cleaner and more reliable recently.
FB-2026-000137,Vadodara,Gujarat,2026-06-30,Healthcare,Facility Quality,Positive,3.0,The facility was clean and well maintained.
FB-2026-000138,Kota,Rajasthan,2026-07-21,Education,Digital Education,Positive,4.0,Digital classroom access has improved learning conditions.
FB-2026-000139,Pune,Maharashtra,2026-06-15,Water Supply,Tanker Dependency,Negative,1.0,Dependence on private tankers is increasing household costs.
FB-2026-000140,Bhavnagar,Gujarat,2026-07-22,Public Transport,Schedule,Negative,2.0,Vehicles do not consistently follow the published timetable.
FB-2026-000141,Ujjain,Madhya Pradesh,2026-06-26,Public Transport,Fare/Cost,Negative,2.0,Fare changes have increased the cost of commuting.
FB-2026-000142,Kanpur Nagar,Uttar Pradesh,2026-04-23,Water Supply,Supply Frequency,Negative,2.0,Water supply is intermittent and pressure is low.
FB-2026-000143,Dharwad,Karnataka,2026-01-07,Water Supply,Supply Frequency,Negative,3.0,Water supply is intermittent and pressure is low.
FB-2026-000144,Barmer,Rajasthan,2026-07-15,Water Supply,Tap Connectivity,Positive,5.0,Piped water supply is regular and convenient.
FB-2026-000145,Ujjain,Madhya Pradesh,2026-02-16,Education,Attendance,Positive,5.0,Teacher attendance and student participation have improved.
FB-2026-000146,Varanasi,Uttar Pradesh,2026-05-01,Digital Government Services,Payment Gateway,Positive,4.0,Online payment for government services is fast and transparent.
FB-2026-000147,Mumbai Suburban,Maharashtra,2026-03-26,Employment,Training,Positive,4.0,A local skills programme helped participants find work.
FB-2026-000148,Bhopal,Madhya Pradesh,2026-05-21,Employment,Job Creation,Negative,2.0,Lack of local opportunities is pushing young workers to migrate.
FB-2026-000149,Bikaner,Rajasthan,2026-07-17,Healthcare,Doctor Availability,Negative,3.0,The public clinic has long queues because too few doctors are available.
FB-2026-000150,Gorakhpur,Uttar Pradesh,2026-01-14,Roads,Erosion,Negative,3.0,Road surfaces deteriorated after heavy rainfall.
FB-2026-000151,Varanasi,Uttar Pradesh,2026-07-14,Electricity,Billing,Negative,3.0,Billing errors are creating avoidable grievance cases.
FB-2026-000152,Nagpur,Maharashtra,2026-04-23,Education,Attendance,Positive,3.0,Teacher attendance and student participation have improved.
FB-2026-000153,Surat,Gujarat,2026-06-05,Digital Government Services,CSC Efficiency,Positive,4.0,The service centre completed the application quickly.
FB-2026-000154,Jhansi,Uttar Pradesh,2026-04-15,Public Transport,Delay/Frequency,Negative,2.0,"The bus frequency on a major route is poor, with long morning waits."
FB-2026-000155,Pune,Maharashtra,2026-02-09,Electricity,Reliability,Positive,5.0,Electricity supply has been stable and uninterrupted.
FB-2026-000156,Barmer,Rajasthan,2026-05-04,Roads,Maintenance,Positive,4.0,Road resurfacing has improved travel quality.
FB-2026-000157,Jhansi,Uttar Pradesh,2026-02-18,Public Transport,Service Quality,Positive,3.0,Public transport has become cleaner and more reliable recently.
FB-2026-000158,Barmer,Rajasthan,2026-08-07,Sanitation,Door-to-Door,Positive,3.0,Door-to-door collection is working reliably in this area.
FB-2026-000159,Bengaluru Urban,Karnataka,2026-08-03,Sanitation,Door-to-Door,Positive,3.0,Door-to-door collection is working reliably in this area.
FB-2026-000160,Ujjain,Madhya Pradesh,2026-03-30,Water Supply,Tap Connectivity,Positive,4.0,Piped water supply is regular and convenient.
FB-2026-000161,Dharwad,Karnataka,2026-06-28,Public Safety,Traffic Control,Positive,3.0,Traffic management has improved safety during peak hours.
FB-2026-000162,Gwalior,Madhya Pradesh,2026-07-10,Public Transport,Fare/Cost,Negative,2.0,Fare changes have increased the cost of commuting.
FB-2026-000163,Nashik,Maharashtra,2026-01-10,Roads,Work Quality,Negative,2.0,Recent patchwork repairs have started deteriorating.
FB-2026-000164,Mumbai Suburban,Maharashtra,2026-04-23,Public Safety,Crime Rate,Negative,1.0,Recent theft incidents have increased safety concerns.
FB-2026-000165,Nashik,Maharashtra,2026-06-17,Roads,Maintenance,Positive,4.0,Road resurfacing has improved travel quality.
FB-2026-000166,Bikaner,Rajasthan,2026-06-27,Healthcare,Service Quality,Positive,4.0,Doctors and nursing staff provided attentive care.
FB-2026-000167,Gorakhpur,Uttar Pradesh,2026-03-23,Roads,Maintenance,Positive,5.0,Road resurfacing has improved travel quality.
FB-2026-000168,Vadodara,Gujarat,2026-03-02,Water Supply,Tap Connectivity,Positive,3.0,Piped water supply is regular and convenient.
FB-2026-000169,Kutch,Gujarat,2026-01-26,Roads,Maintenance,Positive,4.0,Road resurfacing has improved travel quality.
FB-2026-000170,Aurangabad,Maharashtra,2026-08-20,Electricity,Billing,Negative,1.0,Billing errors are creating avoidable grievance cases.
FB-2026-000171,Bengaluru Urban,Karnataka,2026-04-21,Roads,Work Quality,Negative,2.0,Recent patchwork repairs have started deteriorating.
FB-2026-000172,Nanded,Maharashtra,2026-01-21,Public Transport,Service Quality,Positive,5.0,Public transport has become cleaner and more reliable recently.
FB-2026-000173,Udaipur,Rajasthan,2026-05-30,Roads,Traffic Safety,Negative,3.0,Road markings and speed-control measures need improvement.
FB-2026-000174,Bikaner,Rajasthan,2026-06-20,Roads,Traffic Safety,Negative,2.0,Road markings and speed-control measures need improvement.
FB-2026-000175,Gorakhpur,Uttar Pradesh,2026-04-24,Public Transport,Service Quality,Positive,5.0,Public transport has become cleaner and more reliable recently.
FB-2026-000176,Jabalpur,Madhya Pradesh,2026-04-27,Electricity,Reliability,Positive,4.0,Electricity supply has been stable and uninterrupted.
FB-2026-000177,Lucknow,Uttar Pradesh,2026-04-08,Public Transport,Service Quality,Positive,5.0,Public transport has become cleaner and more reliable recently.
FB-2026-000178,Bengaluru Urban,Karnataka,2026-08-01,Public Transport,Service Quality,Positive,3.0,Public transport has become cleaner and more reliable recently.
FB-2026-000179,Rajkot,Gujarat,2026-07-10,Education,Attendance,Positive,3.0,Teacher attendance and student participation have improved.
FB-2026-000180,Kalaburagi,Karnataka,2026-02-18,Healthcare,Service Quality,Positive,5.0,Doctors and nursing staff provided attentive care.
FB-2026-000181,Mumbai Suburban,Maharashtra,2026-06-15,Public Safety,Crime Rate,Negative,1.0,Recent theft incidents have increased safety concerns.
FB-2026-000182,Raichur,Karnataka,2026-01-24,Sanitation,Door-to-Door,Positive,5.0,Door-to-door collection is working reliably in this area.
FB-2026-000183,Gwalior,Madhya Pradesh,2026-02-03,Public Transport,Service Quality,Positive,5.0,Public transport has become cleaner and more reliable recently.
FB-2026-000184,Kanpur Nagar,Uttar Pradesh,2026-08-01,Education,Staffing,Negative,2.0,Teacher vacancies are affecting continuity of instruction.
FB-2026-000185,Belagavi,Karnataka,2026-04-30,Employment,Training,Positive,3.0,A local skills programme helped participants find work.
FB-2026-000186,Bhopal,Madhya Pradesh,2026-07-25,Digital Government Services,CSC Efficiency,Positive,4.0,The service centre completed the application quickly.
FB-2026-000187,Ahmedabad,Gujarat,2026-02-01,Healthcare,Facility Quality,Positive,5.0,The facility was clean and well maintained.
FB-2026-000188,Indore,Madhya Pradesh,2026-08-29,Employment,Training,Positive,4.0,A local skills programme helped participants find work.
FB-2026-000189,Surat,Gujarat,2026-05-24,Water Supply,Tap Connectivity,Positive,5.0,Piped water supply is regular and convenient.
FB-2026-000190,Bhavnagar,Gujarat,2026-04-29,Electricity,Reliability,Positive,5.0,Electricity supply has been stable and uninterrupted.
FB-2026-000191,Gwalior,Madhya Pradesh,2026-01-12,Public Transport,Service Quality,Positive,4.0,Public transport has become cleaner and more reliable recently.
FB-2026-000192,Pune,Maharashtra,2026-08-16,Public Transport,Service Quality,Positive,4.0,Public transport has become cleaner and more reliable recently.
FB-2026-000193,Raichur,Karnataka,2026-07-10,Electricity,Reliability,Positive,5.0,Electricity supply has been stable and uninterrupted.
FB-2026-000194,Nashik,Maharashtra,2026-06-17,Public Safety,Crime Rate,Negative,3.0,Recent theft incidents have increased safety concerns.
FB-2026-000195,Gwalior,Madhya Pradesh,2026-03-13,Education,Staffing,Negative,1.0,Teacher vacancies are affecting continuity of instruction.
FB-2026-000196,Ujjain,Madhya Pradesh,2026-03-02,Roads,Maintenance,Positive,5.0,Road resurfacing has improved travel quality.
FB-2026-000197,Raichur,Karnataka,2026-06-15,Water Supply,Leakage,Negative,2.0,A pipeline leak near a residential area has remained unresolved.
FB-2026-000198,Jaipur,Rajasthan,2026-08-06,Digital Government Services,CSC Efficiency,Positive,5.0,The service centre completed the application quickly.
FB-2026-000199,Jodhpur,Rajasthan,2026-06-02,Electricity,Reliability,Positive,4.0,Electricity supply has been stable and uninterrupted.
FB-2026-000200,Udaipur,Rajasthan,2026-07-21,Digital Government Services,CSC Efficiency,Positive,5.0,The service centre completed the application quickly.
FB-2026-000201,Jodhpur,Rajasthan,2026-07-28,Water Supply,Tap Connectivity,Positive,3.0,Piped water supply is regular and convenient.
FB-2026-000202,Ahmedabad,Gujarat,2026-02-07,Healthcare,Facility Quality,Positive,3.0,The facility was clean and well maintained.
FB-2026-000203,Pune,Maharashtra,2026-01-07,Electricity,Billing,Negative,1.0,Billing errors are creating avoidable grievance cases.
FB-2026-000204,Dharwad,Karnataka,2026-03-09,Public Transport,Fare/Cost,Negative,3.0,Fare changes have increased the cost of commuting.
FB-2026-000205,Pune,Maharashtra,2026-05-02,Sanitation,Door-to-Door,Positive,5.0,Door-to-door collection is working reliably in this area.
FB-2026-000206,Mumbai Suburban,Maharashtra,2026-02-26,Roads,Maintenance,Positive,5.0,Road resurfacing has improved travel quality.
